Name,Card Type,Type,Set,Image,Rarity
Ampharos,Pokemon,Lightning,Aquapolis,https://assets.tcgdex.net/en/ecard/ecard2/1/high.png,Rare
Aerodactyl,Pokemon,Fighting,Skyridge,https://assets.tcgdex.net/en/ecard/ecard3/1/high.png,Rare
Alakazam,Pokemon,Psychic,Expedition Base Set,https://assets.tcgdex.net/en/ecard/ecard1/1/high.png,Rare
Team Aqua's Cacturne,Pokemon,"Grass,darkness",Team Magma vs Team Aqua,https://assets.tcgdex.net/en/ex/ex4/1/high.png,Rare
Ampharos,Pokemon,Lightning,Unseen Forces,https://assets.tcgdex.net/en/ex/ex10/1/high.png,Rare
Banette,Pokemon,Psychic,Crystal Guardians,https://assets.tcgdex.net/en/ex/ex14/1/high.png,Rare
Beedrill,Pokemon,Grass,FireRed & LeafGreen,https://assets.tcgdex.net/en/ex/ex6/1/high.png,Rare
Azumarill,Pokemon,Water,Team Rocket Returns,https://assets.tcgdex.net/en/ex/ex7/1/high.png,Rare
Aerodactyl,Pokemon,Colorless,Legend Maker,https://assets.tcgdex.net/en/ex/ex12/1/high.png,Rare
Armaldo,Pokemon,Fighting,Sandstorm,https://assets.tcgdex.net/en/ex/ex2/1/high.png,Rare
Blaziken,Pokemon,Fire,Emerald,https://assets.tcgdex.net/en/ex/ex9/1/high.png,Rare
Altaria,Pokemon,Colorless,Deoxys,https://assets.tcgdex.net/en/ex/ex8/1/high.png,Rare
Banette,Pokemon,Psychic,Hidden Legends,https://assets.tcgdex.net/en/ex/ex5/1/high.png,Rare
Aggron,Pokemon,Metal,Power Keepers,https://assets.tcgdex.net/en/ex/ex16/1/high.png,Rare
Aggron,Pokemon,Metal,Ruby & Sapphire,https://assets.tcgdex.net/en/ex/ex1/1/high.png,Rare
Beedrill δ,Pokemon,"Grass,metal",Delta Species,https://assets.tcgdex.net/en/ex/ex11/1/high.png,Rare
Armaldo δ,Pokemon,"Fighting,metal",Holon Phantoms,https://assets.tcgdex.net/en/ex/ex13/1/high.png,Rare
Ampharos δ,Pokemon,Colorless,Dragon Frontiers,https://assets.tcgdex.net/en/ex/ex15/1/high.png,Rare
Absol,Pokemon,Darkness,Dragon,https://assets.tcgdex.net/en/ex/ex3/1/high.png,Rare
Pineco,Pokemon,Grass,Scarlet & Violet,https://assets.tcgdex.net/en/sv/sv01/001/high.png,Common
Bulbasaur,Pokemon,Grass,151,https://assets.tcgdex.net/en/sv/sv03.5/001/high.png,Common
Joltik,Pokemon,Grass,Shrouded Fable,https://assets.tcgdex.net/en/sv/sv06.5/001/high.png,Common
Scyther,Pokemon,Grass,Temporal Forces,https://assets.tcgdex.net/en/sv/sv05/001/high.png,Common
Oddish,Pokemon,Grass,Obsidian Flames,https://assets.tcgdex.net/en/sv/sv03/001/high.png,Common
Ampharos,Pokemon,Lightning,Neo Revelation,https://assets.tcgdex.net/en/neo/neo3/1/high.png,Rare
Pineco,Pokemon,Grass,Paldean Fates,https://assets.tcgdex.net/en/sv/sv04.5/001/high.png,Common
Espeon,Pokemon,Psychic,Neo Discovery,https://assets.tcgdex.net/en/neo/neo2/1/high.png,Rare
Mew,Pokemon,Psychic,Southern Islands,https://assets.tcgdex.net/en/neo/si1/1/high.png,Common
Ampharos,Pokemon,Lightning,Neo Genesis,https://assets.tcgdex.net/en/neo/neo1/1/high.png,Rare
Dark Ampharos,Pokemon,Lightning,Neo Destiny,https://assets.tcgdex.net/en/neo/neo4/1/high.png,Rare
Hoppip,Pokemon,Grass,Paldea Evolved,https://assets.tcgdex.net/en/sv/sv02/001/high.png,Common
Exeggcute,Pokemon,Grass,Forbidden Light,https://assets.tcgdex.net/en/sm/sm6/1/high.png,Common
Surskit,Pokemon,Grass,Paradox Rift,https://assets.tcgdex.net/en/sv/sv04/001/high.png,Common
Bellsprout,Pokemon,Grass,Celestial Storm,https://assets.tcgdex.net/en/sm/sm7/1/high.png,Common
Caterpie,Pokemon,Grass,Hidden Fates,https://assets.tcgdex.net/en/sm/sm115/1/high.png,Common
Tangela,Pokemon,Grass,Twilight Masquerade,https://assets.tcgdex.net/en/sv/sv06/001/high.png,Common
Caterpie,Pokemon,Grass,Burning Shadows,https://assets.tcgdex.net/en/sm/sm3/1/high.png,Common
Tangela,Pokemon,Grass,Lost Thunder,https://assets.tcgdex.net/en/sm/sm8/1/high.png,Common
Arcanine,Pokemon,Fire,HeartGold SoulSilver,https://assets.tcgdex.net/en/hgss/hgss1/1/high.png,Rare Holo
Weedle,Pokemon,Grass,Crimson Invasion,https://assets.tcgdex.net/en/sm/sm4/1/high.png,Common
Bellossom,Pokemon,Grass,Undaunted,https://assets.tcgdex.net/en/hgss/hgss3/1/high.png,Rare Holo
Jirachi,Pokemon,Psychic,Unleashed,https://assets.tcgdex.net/en/hgss/hgss2/1/high.png,Rare Holo
Pheromosa & Buzzwole GX,Pokemon,Grass,Unbroken Bonds,https://assets.tcgdex.net/en/sm/sm10/1/high.png,Ultra Rare
Bulbasaur,Pokemon,Grass,Detective Pikachu,https://assets.tcgdex.net/en/sm/det1/1/high.png,Common
Aggron,Pokemon,Metal,Triumphant,https://assets.tcgdex.net/en/hgss/hgss4/1/high.png,Rare Holo
Bellsprout,Pokemon,Grass,Guardians Rising,https://assets.tcgdex.net/en/sm/sm2/1/high.png,Common
Rowlet & Alolan Exeggutor GX,Pokemon,Grass,Unified Minds,https://assets.tcgdex.net/en/sm/sm11/1/high.png,Ultra Rare
Venusaur & Snivy GX,Pokemon,Grass,Cosmic Eclipse,https://assets.tcgdex.net/en/sm/sm12/1/high.png,Ultra Rare
Caterpie,Pokemon,Grass,Sun & Moon,https://assets.tcgdex.net/en/sm/sm1/1/high.png,Common
Alakazam,Pokemon,Psychic,Base Set,https://assets.tcgdex.net/en/base/base1/1/high.png,Rare
Celebi & Venusaur GX,Pokemon,Grass,Team Up,https://assets.tcgdex.net/en/sm/sm9/1/high.png,Ultra Rare
Ampharos,Pokemon,Lightning,POP Series 7,https://assets.tcgdex.net/en/pop/pop7/1/high.png,Rare
Garchomp,Pokemon,Colorless,POP Series 9,https://assets.tcgdex.net/en/pop/pop9/1/high.png,Rare
Chimecho δ,Pokemon,Metal,POP Series 4,https://assets.tcgdex.net/en/pop/pop4/1/high.png,Rare
Kyogre ex,Pokemon,Water,Nintendo Black Star Promos,https://assets.tcgdex.net/en/pop/np/1/high.png,Common
Exeggcute,Pokemon,Grass,Ultra Prism,https://assets.tcgdex.net/en/sm/sm5/1/high.png,Common
Heatran,Pokemon,Fire,POP Series 8,https://assets.tcgdex.net/en/pop/pop8/1/high.png,Rare
Bastiodon,Pokemon,Metal,POP Series 6,https://assets.tcgdex.net/en/pop/pop6/1/high.png,Rare
Exeggcute,Pokemon,Grass,Roaring Skies,https://assets.tcgdex.net/en/xy/xy6/1/high.png,Common
Blastoise,Pokemon,Water,POP Series 3,https://assets.tcgdex.net/en/pop/pop3/1/high.png,Rare
Ho-Oh,Pokemon,Fire,POP Series 5,https://assets.tcgdex.net/en/pop/pop5/1/high.png,Rare
Blaziken,Pokemon,Fire,POP Series 1,https://assets.tcgdex.net/en/pop/pop1/1/high.png,Rare
Oddish,Pokemon,Grass,Ancient Origins,https://assets.tcgdex.net/en/xy/xy7/1/high.png,Common
Entei,Pokemon,Fire,POP Series 2,https://assets.tcgdex.net/en/pop/pop2/1/high.png,Rare
Shuckle,Pokemon,Grass,Fates Collide,https://assets.tcgdex.net/en/xy/xy10/1/high.png,Uncommon
Paras,Pokemon,Grass,BREAKthrough,https://assets.tcgdex.net/en/xy/xy8/1/high.png,Common
Tangela,Pokemon,Grass,Steam Siege,https://assets.tcgdex.net/en/xy/xy11/1/high.png,Common
Team Magma's Numel,Pokemon,Fire,Double Crisis,https://assets.tcgdex.net/en/xy/dc1/1/high.png,Common
